=== K=6 FAST trial: trial_K6_d11910_h96x96_tanh_n50000_eps0.001_fast_msvrg_without_256_checkpoints_cert ===
  Fast outer 1094/3000 | t=1518.94s | bundle=1898 | grad_equiv=35441.9 | self-reported pc=4.6151e-02
  Fast outer 1110/3000 | t=1568.66s | bundle=1938 | grad_equiv=36193.1 | self-reported pc=3.6788e-02
  Fast outer 1117/3000 | t=1618.07s | bundle=1979 | grad_equiv=36963.0 | self-reported pc=3.9131e-02
  Fast outer 1122/3000 | t=1665.90s | bundle=2017 | grad_equiv=37676.7 | self-reported pc=4.9376e-02
  Fast outer 1134/3000 | t=1712.93s | bundle=2056 | grad_equiv=38409.1 | self-reported pc=4.0737e-02
  Fast outer 1138/3000 | t=1756.24s | bundle=2088 | grad_equiv=39010.0 | self-reported pc=3.3762e-02
  Fast outer 1143/3000 | t=1803.87s | bundle=2120 | grad_equiv=39611.0 | self-reported pc=5.3974e-02
  Fast outer 1152/3000 | t=1850.01s | bundle=2152 | grad_equiv=40211.9 | self-reported pc=5.8337e-02
  Fast outer 1161/3000 | t=1902.35s | bundle=2192 | grad_equiv=40963.1 | self-reported pc=4.3496e-02
  Fast outer 1169/3000 | t=1951.40s | bundle=2227 | grad_equiv=41620.4 | self-reported pc=4.5328e-02
  Fast outer 1175/3000 | t=2001.28s | bundle=2260 | grad_equiv=42240.1 | self-reported pc=4.1488e-02
  Fast outer 1180/3000 | t=2048.08s | bundle=2292 | grad_equiv=42841.0 | self-reported pc=5.1402e-02
  Fast outer 1184/3000 | t=2117.47s | bundle=2331 | grad_equiv=43573.4 | self-reported pc=4.2513e-02
  Fast outer 1189/3000 | t=2187.15s | bundle=2372 | grad_equiv=44343.4 | self-reported pc=4.5059e-02
  Fast outer 1193/3000 | t=2256.16s | bundle=2412 | grad_equiv=45094.6 | self-reported pc=3.8944e-02
  Fast outer 1198/3000 | t=2310.08s | bundle=2444 | grad_equiv=45695.5 | self-reported pc=4.8097e-02
  Fast outer 1203/3000 | t=2363.62s | bundle=2478 | grad_equiv=46334.0 | self-reported pc=6.1210e-02
