case,seed,K,p,n,hidden_sizes,d,oracle_ms,problem_setup_time,target_gn,adaptive_final_gn,adaptive_reached_target,baseline_time,adaptive_time,baseline_grad_evals,adaptive_grad_evals,time_ratio_baseline_over_adaptive,grad_ratio_baseline_over_adaptive,curve_plot
K2_p8_n40_h8_seed10,10,2,8,40,8,90,2.7862089991685934,0.045350250002229586,1.087459510002477,1.1787101741607477,False,0.005877017974853516,0.010034799575805664,4,2,,,/Users/shirch/vscode101/.venv/First-order-method-smooth-MOO/Adaptive Bundle Algorithm/output/complex_mlp_crossover/quick/curves/K2_p8_n40_h8_seed10.png
K2_p8_n40_h12x12_seed10,10,2,8,40,12x12,290,0.8857909997459501,0.0024286250009026844,4.564396879514073,1.6828122954891085,True,0.0017499923706054688,0.008260726928710938,4,2,0.21184483952897715,2.0,/Users/shirch/vscode101/.venv/First-order-method-smooth-MOO/Adaptive Bundle Algorithm/output/complex_mlp_crossover/quick/curves/K2_p8_n40_h12x12_seed10.png
