rank,triple,Cbalanced,Cmean,c_0,c_1,c_2,wall_seconds
1,3-5-8,1.711959,1.797811,1.711959,1.919443,1.762032,16.5
2,4-7-9,1.540339,2.034834,2.527508,1.540339,2.036654,16.2
3,3-8-9,1.303942,1.409351,1.418366,1.505745,1.303942,16.2
4,2-3-8,1.250283,1.495780,1.580115,1.250283,1.656941,16.2
5,5-6-8,1.081536,1.242134,1.382808,1.081536,1.262057,16.4
