rank,triple,Cbalanced,Cmean,c_0,c_1,c_2,wall_seconds
1,3-5-8,0.588074,0.631779,0.630551,0.676713,0.588074,16.5
2,4-7-9,0.505752,0.712798,0.887923,0.505752,0.744718,16.2
3,3-8-9,0.450559,0.508025,0.520393,0.553123,0.450559,16.2
4,2-3-8,0.432482,0.534907,0.563234,0.432482,0.609005,16.2
5,5-6-8,0.380552,0.454927,0.522815,0.380552,0.461414,16.4
