rank,triple,Cbalanced,Cmean,c_0,c_1,c_2,wall_seconds
1,4-7-9,5.226504,6.248881,7.491482,5.226504,6.028657,16.2
2,3-5-8,5.038426,5.778227,5.038426,6.070065,6.226190,16.5
3,2-3-8,4.141293,4.734091,4.728612,4.141293,5.332368,16.2
4,3-8-9,4.135978,4.474137,4.135978,4.693505,4.592928,16.2
5,5-6-8,3.527975,3.850807,3.927036,3.527975,4.097410,16.4
