[r=10] found existing summary, skipping (use --force to re-run)
[r=12] found existing summary, skipping (use --force to re-run)
=== baseline-SVRG r=15 (node_tol=0.02, share=gram) ===
[r=15] instance rebuilt in 4.2s (fresh sampler, seed 41)
  BL-SVRG node 34691 | t=1627.86s | grad_equiv=108301.6 | served=35702/53130 | delivered=7404 | censored=0 | worst=6.1870e-01
  BL-SVRG node 35497 | t=1688.70s | grad_equiv=112825.4 | served=36811/53130 | delivered=7691 | censored=0 | worst=6.1004e-01
  BL-SVRG node 36424 | t=1748.65s | grad_equiv=117349.5 | served=37725/53130 | delivered=7987 | censored=0 | worst=6.1004e-01
  BL-SVRG node 37386 | t=1810.25s | grad_equiv=121860.0 | served=38432/53130 | delivered=8290 | censored=0 | worst=6.1004e-01
  BL-SVRG node 37900 | t=1872.80s | grad_equiv=126379.0 | served=38937/53130 | delivered=8608 | censored=0 | worst=6.1004e-01
  BL-SVRG node 38444 | t=1932.45s | grad_equiv=130884.0 | served=39493/53130 | delivered=8907 | censored=0 | worst=6.1004e-01
  BL-SVRG node 39128 | t=1992.55s | grad_equiv=135413.2 | served=40145/53130 | delivered=9209 | censored=0 | worst=6.1004e-01
  BL-SVRG node 39834 | t=2058.72s | grad_equiv=139918.7 | served=40846/53130 | delivered=9493 | censored=0 | worst=6.1004e-01
  BL-SVRG node 40728 | t=2125.26s | grad_equiv=144421.9 | served=41506/53130 | delivered=9796 | censored=0 | worst=3.9309e-01
  BL-SVRG node 41644 | t=2193.33s | grad_equiv=148925.4 | served=42509/53130 | delivered=10116 | censored=0 | worst=3.9309e-01
  BL-SVRG node 42547 | t=2267.97s | grad_equiv=153449.7 | served=43657/53130 | delivered=10408 | censored=0 | worst=3.6616e-01
  BL-SVRG node 43253 | t=2328.59s | grad_equiv=157962.4 | served=44610/53130 | delivered=10704 | censored=0 | worst=3.5777e-01
  BL-SVRG node 44119 | t=2394.39s | grad_equiv=162475.8 | served=45486/53130 | delivered=11003 | censored=0 | worst=3.5777e-01
  BL-SVRG node 44697 | t=2469.43s | grad_equiv=166995.9 | served=46028/53130 | delivered=11324 | censored=0 | worst=3.5777e-01
  BL-SVRG node 45260 | t=2546.59s | grad_equiv=171514.3 | served=46456/53130 | delivered=11629 | censored=0 | worst=3.5777e-01
  BL-SVRG node 45927 | t=2620.00s | grad_equiv=176027.5 | served=46900/53130 | delivered=11919 | censored=0 | worst=3.5777e-01
  BL-SVRG node 46839 | t=2696.23s | grad_equiv=180545.1 | served=47454/53130 | delivered=12221 | censored=0 | worst=3.5777e-01
  BL-SVRG node 47494 | t=2775.01s | grad_equiv=185059.9 | served=48071/53130 | delivered=12543 | censored=0 | worst=2.4286e-01
  BL-SVRG node 47870 | t=2844.11s | grad_equiv=189572.3 | served=48563/53130 | delivered=12838 | censored=0 | worst=2.4286e-01
  BL-SVRG node 48336 | t=2904.13s | grad_equiv=194085.8 | served=49082/53130 | delivered=13132 | censored=0 | worst=2.4286e-01
  BL-SVRG node 48833 | t=2966.78s | grad_equiv=198599.0 | served=49483/53130 | delivered=13449 | censored=0 | worst=2.4286e-01
  BL-SVRG node 49227 | t=3029.30s | grad_equiv=203113.6 | served=49823/53130 | delivered=13746 | censored=0 | worst=2.4286e-01
  BL-SVRG node 49750 | t=3098.53s | grad_equiv=207633.1 | served=50179/53130 | delivered=14040 | censored=0 | worst=2.4286e-01
  BL-SVRG node 50261 | t=3169.57s | grad_equiv=212155.0 | served=50659/53130 | delivered=14370 | censored=0 | worst=2.3494e-01
  BL-SVRG node 50694 | t=3237.90s | grad_equiv=216668.0 | served=51093/53130 | delivered=14672 | censored=0 | worst=2.1884e-01
  BL-SVRG node 51078 | t=3303.50s | grad_equiv=221189.3 | served=51498/53130 | delivered=14980 | censored=0 | worst=2.1884e-01
  BL-SVRG node 51469 | t=3391.96s | grad_equiv=225694.2 | served=51788/53130 | delivered=15305 | censored=0 | worst=2.1884e-01
  BL-SVRG node 51996 | t=3473.61s | grad_equiv=230194.9 | served=52191/53130 | delivered=15629 | censored=0 | worst=2.1101e-01
  BL-SVRG node 52353 | t=3554.22s | grad_equiv=234702.1 | served=52563/53130 | delivered=15952 | censored=0 | worst=1.2861e-01
  BL-SVRG node 52825 | t=3643.79s | grad_equiv=239217.8 | served=52940/53130 | delivered=16287 | censored=0 | worst=9.1909e-02
  BL-SVRG final | t=3688.98s | grad_equiv=241720.6 | served=53130/53130 | delivered=16487 | censored=0 | worst=1.9999e-02
[r=20] DONE in 4114s | GN*=6.3415e-02 | grads=241721 | solved=11820 | shared=53130 | censored=0 | stop=completed
ALL DONE -> /Users/shirch/vscode101/.venv/First-order-method-smooth-MOO/Adaptive Bundle Algorithm/output/baseline_svrg_multi_r_vs_fast_without_256_checkpoints
