instance,source,family,K,m,sampler,N,rep,phi,wall_s,ccp_iters,sandwich,regret_rel,miss
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,43,12.925006280336726,0.0031885001808404922,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,44,12.925006280336726,0.0029501249082386494,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,45,12.925006280336726,0.002893791999667883,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,46,12.925006280336726,0.002988292369991541,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,47,12.925006280336726,0.0029920837841928005,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,48,12.925006280336726,0.0029509589076042175,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,49,12.925006280336726,0.003052082844078541,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,0,12.925006280336726,0.0030849999748170376,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,1,12.925006280336726,0.0030419998802244663,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,2,12.925006280336726,0.0031372499652206898,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,3,12.925006280336726,0.002994624897837639,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,4,12.925006280336726,0.0032130000181496143,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,5,12.925006280336726,0.00311345886439085,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,6,12.925006280336726,0.003159167245030403,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,7,12.925006280336726,0.0030928747728466988,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,8,12.925006280336726,0.002995541784912348,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,512,9,12.925006280336726,0.0032298751175403595,18,False,0.0,0
